tt1781922	No Escape 
tt2179136	American Sniper
tt2679042	Hitman Agent 47
tt3072636	Past is a Grotesque Animal The
tt2398231	Homesman The
tt2113659	Elsa and Fred 
tt0470752	Ex Machina
tt2872718	Nightcrawler
tt0120873	U S Marshals
tt3125324	Beyond the Lights
tt2366608	Lost River
tt0112403	As It Is in Heaven
tt0124315	Cider House Rules The
tt2295722	Falcon Rising
tt3322940	Annabelle
tt1798243	Rudderless
tt2800038	Atlas Shrugged Who Is John Galt
tt3612616	Mommy
tt2893490	Manglehorn
tt2503944	Burnt
tt2630916	Pump
tt2246526	Born to Fly Elizabeth Streb vs Gravity
tt3504048	Housebound 
tt1014763	Child 44
tt2994190	Camp X Ray
tt2911666	John Wick
tt2556874	Plastic
tt1881002	Maggie
tt2515030	Escobar Paradise Lost
tt1791682	While Were Young
tt2784678	Top Five
tt4003774	Meet the Mormons
tt0085244	Big Chill The
tt3179568	Men Women and Children
tt2547584	Light Between Oceans The
tt3214286	Beyond the Brick A LEGO Brickumentary
tt2474024	Last 5 Years The
tt1018765	Our Brand is Crisis 
tt3148834	Thunder and the House of Magic The
tt3569356	Not Cool
tt0151738	Never Been Kissed
tt0492044	Haunting in Connecticut The
tt0821640	Ghosts of Girlfriends Past
tt2494384	Aloft
tt0443465	Before We Go
tt2937898	Most Violent Year A
tt2039393	Gambler The 
tt3230082	chambre bleue La
tt2321549	Babadook The
tt3268668	Captive 
tt1772288	Danny Collins
tt2667960	Miss Julie 
tt3316960	Still Alice
tt1921149	Trash 
tt1015471	Sisterhood of Night The
tt3713166	Unfriended
tt0035343	Sleepwalker The
tt3844362	Overnight The
tt2404425	Woman in Gold
tt0163862	T Rex Back to the Cretaceous
tt3007512	Water Diviner The
tt2381111	Brooklyn
tt2147225	Black November
tt2704752	Above and Beyond
tt3832914	War Room
tt2325977	Strangerland
tt2199543	Praia do Futuro
tt0141098	Forces of Nature
tt0408236	Sweeney Todd The Demon Barber of Fleet Street
tt3145220	Hits
tt2421956	Butterfly Girl
tt1878841	Darkness The
tt0292506	Recruit The
tt3077214	Suffragette
tt2952602	Yi ge ren de wu lin
tt3547740	famille Belier La
tt0463998	Freedom 
tt2814362	United Passions
tt4219836	Top Spin
tt2017486	Closer to the Moon 
tt3858372	Mune le gardien de la lune
tt1234721	RoboCop 
tt1723121	Were the Millers
tt1170358	Hobbit The Desolation of Smaug The
tt1210819	Lone Ranger The
tt0481499	Croods The
tt1335975	47 Ronin
tt0790636	Dallas Buyers Club
tt0884726	Legends of Oz Dorothy s Return
tt1587310	Maleficent
tt1646971	How to Train Your Dragon 2
tt1091191	Lone Survivor
tt1650554	Kick Ass 2
tt0864835	Mr Peabody and Sherman
tt1621039	Free Birds
tt1213663	Worlds End The
tt1441395	Under the Skin
tt3315342	Wolverine The
tt1860353	Turbo
tt1690953	Despicable Me 2
tt1981115	Thor The Dark World
tt1663662	Pacific Rim
